Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,Scaled,Gen 0,Allocated
Utf8JsonSerializer,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,1,16,1,574.56 ns,NA,1.00,0.0110,48 B
MessagePackCSharp,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,1,16,1,77.36 ns,NA,0.13,0.0113,48 B
MessagePackCSharpContractless,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,1,16,1,190.77 ns,NA,0.33,0.0112,48 B
_Jil,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,1,16,1,779.73 ns,NA,1.36,0.1097,464 B
_JilTextReader,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,1,16,1,"1,399.25 ns",NA,2.44,0.8430,3544 B
_JsonNet,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,1,16,1,"3,078.89 ns",NA,5.36,0.7820,3296 B
_NetJson,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,1,Default,1,16,1,"1,252.37 ns",NA,2.18,0.2441,1032 B
